name,description,ingredients,cookware,difficulty,cookingTime,bilibiliUrl,category
红烧肉,王刚的红烧肉,五花肉|冰糖|生抽|老抽|料酒|葱|姜|八角|桂皮|盐,炒锅|菜刀|砧板|锅铲,中等,45,https://www.bilibili.com/video/BV1Us411H7Nw,荤菜
回锅肉,王刚的回锅肉,猪肉|青椒|豆瓣酱|蒜|姜|料酒|生抽|老抽|糖|盐|食用油,炒锅|菜刀|砧板|锅铲,中等,25,https://www.bilibili.com/video/BV1HW411c7Q2,川菜
宫保鸡丁,王刚的宫保鸡丁,鸡胸肉|花生米|干辣椒|花椒|葱|姜|蒜|生抽|老抽|醋|糖|盐|淀粉|食用油,炒锅|菜刀|砧板|锅铲,中等,20,https://www.bilibili.com/video/BV1Xt411Z7z8,川菜
小炒肉,王刚的小炒肉,猪肉|青椒|红椒|蒜|姜|生抽|老抽|料酒|盐|食用油,炒锅|菜刀|砧板|锅铲,简单,15,https://www.bilibili.com/video/BV1bq421c78A,家常菜
扬州炒饭,王刚的扬州炒饭,米饭|鸡蛋|火腿|虾仁|青豆|玉米|胡萝卜|葱|盐|食用油,炒锅|菜刀|砧板|锅铲,中等,15,https://www.bilibili.com/video/BV1oy4y1r7MR,主食
辣子鸡,王刚的辣子鸡,鸡肉|干辣椒|花椒|葱|姜|蒜|生抽|料酒|盐|糖|食用油,炒锅|菜刀|砧板|锅铲,中等,30,https://www.bilibili.com/video/BV16K4y1b72h,川菜
蚂蚁上树,王刚的蚂蚁上树,粉丝|猪肉末|豆瓣酱|葱|姜|蒜|生抽|料酒|盐|糖|食用油,炒锅|菜刀|砧板|锅铲,简单,20,https://www.bilibili.com/video/BV1J14y117ba,家常菜
黄焖鸡,王刚的黄焖鸡,鸡肉|土豆|青椒|红椒|葱|姜|蒜|生抽|老抽|料酒|盐|糖|食用油,炒锅|菜刀|砧板|锅铲,中等,35,https://www.bilibili.com/video/BV1k14y1c7VR,家常菜
鱼香肉丝,王刚的鱼香肉丝,猪肉|木耳|胡萝卜|青椒|葱|姜|蒜|泡椒|生抽|醋|糖|盐|淀粉|食用油,炒锅|菜刀|砧板|锅铲,中等,20,https://www.bilibili.com/video/BV1Gs411A7Vo,川菜
麻婆豆腐,王刚的麻婆豆腐,豆腐|猪肉末|豆瓣酱|花椒|葱|姜|蒜|生抽|淀粉|盐|食用油,炒锅|菜刀|砧板|锅铲,简单,15,https://www.bilibili.com/video/BV1Rs411V7i9,川菜
水煮肉片,王刚的水煮肉片,猪肉|白菜|豆芽|豆瓣酱|花椒|干辣椒|葱|姜|蒜|生抽|淀粉|盐|食用油,炒锅|菜刀|砧板|锅铲,中等,25,https://www.bilibili.com/video/BV1ys411u7Z4,川菜
糖醋排骨,王刚的糖醋排骨,排骨|冰糖|醋|生抽|料酒|葱|姜|盐|食用油,炒锅|菜刀|砧板|锅铲,中等,40,https://www.bilibili.com/video/BV1dq4y1Q718,家常菜
西红柿炒蛋,王刚的西红柿炒蛋,西红柿|鸡蛋|葱|盐|糖|食用油,炒锅|菜刀|砧板|锅铲,简单,10,https://www.bilibili.com/video/BV1s4411C7zH,家常菜
蛋炒饭,王刚的蛋炒饭,米饭|鸡蛋|葱|盐|食用油,炒锅|菜刀|砧板|锅铲,简单,10,https://www.bilibili.com/video/BV1Zx411q7JC,主食
地三鲜,王刚的地三鲜,土豆|茄子|青椒|葱|姜|蒜|生抽|盐|糖|食用油,炒锅|菜刀|砧板|锅铲,简单,20,https://www.bilibili.com/video/BV1Yx411q7Qv,素菜
干煸四季豆,王刚的干煸四季豆,四季豆|猪肉末|干辣椒|花椒|葱|姜|蒜|生抽|盐|食用油,炒锅|菜刀|砧板|锅铲,简单,15,https://www.bilibili.com/video/BV1nW411A7SY,素菜
虎皮青椒,王刚的虎皮青椒,青椒|蒜|生抽|醋|盐|糖|食用油,炒锅|菜刀|砧板|锅铲,简单,10,https://www.bilibili.com/video/BV12g4y1X7tw,素菜
京酱肉丝,王刚的京酱肉丝,猪肉|甜面酱|葱|姜|料酒|淀粉|盐|食用油|豆腐皮,炒锅|菜刀|砧板|锅铲,中等,20,https://www.bilibili.com/video/BV1Rw411R71N,家常菜
木须肉,王刚的木须肉,猪肉|鸡蛋|木耳|黄瓜|葱|姜|生抽|盐|食用油,炒锅|菜刀|砧板|锅铲,简单,15,https://www.bilibili.com/video/BV1kE411i7r1,家常菜
东坡肉,王刚的东坡肉,五花肉|冰糖|生抽|老抽|料酒|葱|姜|八角|桂皮|盐,炒锅|砂锅|菜刀|砧板,中等,120,https://www.bilibili.com/video/BV1CebaznE19,荤菜
糖醋里脊,王刚的糖醋里脊,猪里脊|鸡蛋|淀粉|面粉|白糖|醋|番茄酱|盐|料酒|葱|姜,炒锅|菜刀|砧板|锅铲,中等,25,https://www.bilibili.com/video/BV1Wg411L7Jx,荤菜
可乐鸡翅,王刚的可乐鸡翅,鸡翅|可乐|生抽|老抽|料酒|葱|姜|盐,炒锅|菜刀|砧板,简单,30,https://www.bilibili.com/video/BV1Lx411R7kT,荤菜
青椒肉丝,王刚的青椒肉丝,猪肉|青椒|生抽|料酒|淀粉|盐|食用油|葱|姜,炒锅|菜刀|砧板|锅铲,简单,15,https://www.bilibili.com/video/BV1aW411F7pR,家常菜
红烧茄子,王刚的红烧茄子,茄子|猪肉|蒜|生抽|老抽|白糖|盐|食用油|葱,炒锅|菜刀|砧板|锅铲,简单,20,https://www.bilibili.com/video/BV1Wx411b7Hk,素菜
酸辣土豆丝,王刚的酸辣土豆丝,土豆|青椒|红椒|醋|盐|白糖|食用油|蒜|干辣椒,炒锅|菜刀|砧板|锅铲,简单,10,https://www.bilibili.com/video/BV1Wx411b7Hk,素菜
鱼香茄子,王刚的鱼香茄子,茄子|猪肉|蒜|姜|葱|豆瓣酱|生抽|醋|白糖|淀粉|食用油,炒锅|菜刀|砧板|锅铲,中等,20,https://www.bilibili.com/video/BV1Wx411b7Hk,川菜
红烧鱼,王刚的红烧鱼,鲤鱼|生抽|老抽|料酒|白糖|醋|葱|姜|蒜|八角|盐|食用油,炒锅|菜刀|砧板|锅铲,中等,30,https://www.bilibili.com/video/BV1Wx411b7Hk,荤菜
炒河粉,王刚的炒河粉,河粉|豆芽|韭菜|鸡蛋|生抽|老抽|盐|食用油,炒锅|锅铲,简单,15,https://www.bilibili.com/video/BV1Wx411b7Hk,面食
凉拌黄瓜,王刚的凉拌黄瓜,黄瓜|蒜|醋|生抽|香油|盐|白糖|辣椒油,菜刀|砧板|碗,简单,5,https://www.bilibili.com/video/BV1Wx411b7Hk,凉菜
